Ward,Precinct,Submission Date,Comment Period End Date,Ordinance Introduction Date,Ordinance Effective Date,Scope of Restriction,Enacting Ordinance,Repeal Submission Date,Repeal Comment Period End Date,Repeal Ordinance Introduction Date,Repeal Ordinance Effective Date,Repeal Ordinance
23,28,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,10,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,24,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760028&GUID=883338F3-00E2-4D41-AA80-6AF0373FE4BB,,,,,
13,22,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,3,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760020&GUID=DF4A8DE8-4FB8-431C-A41B-25AAE28B48EB,,,,,
13,34,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,5,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
41,14,04/02/2021,05/02/2021,05/26/2021,07/21/2021,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/LegislationDetail.aspx?ID=4964077&GUID=189178F4-7988-4605-8BFA-1A3A9F8F75D1&Options=Advanced&Search=,,,,,
13,41,08/13/2018,09/12/2018,09/20/2018,10/31/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6635741&GUID=B1FD137E-3F90-4391-8CD0-1592534B750A,,,,,
13,43,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,32,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
23,29,07/18/2017,08/17/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P29.pdf,,,,,
13,47,01/18/2023,,01/18/2023,02/01/2023,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=11584197&GUID=B97D3EA2-83C5-4A6F-A407-167988159AAE,,,,,
13,32,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,28,07/18/2017,08/17/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P28.pdf,,,,,
13,23,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,28,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,2,01/22/2024,,07/17/2024,09/18/2024,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/68b5f42f-bfef-48b8-9194-e5f45fe15b0f.pdf,,,,,
13,40,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,18,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,30,02/18/2020,03/18/2020,07/22/2020,09/09/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8681836&GUID=CDDAAF0E-5C1A-4CCE-A056-0475D11E2455,,,,,
13,47,09/29/2018,10/29/2018,11/14/2018,03/13/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6779784&GUID=49B55321-9E95-4BD4-8B29-76E099A9E6C4,,,,,
13,42,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,28,07/27/2018,08/26/2018,09/20/2018,10/31/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6635771&GUID=928BDAB2-A8F3-4667-9884-68B421D2E72F,,,,,
13,39,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,41,07/20/2022,,07/20/2022,07/21/2022,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=11068255&GUID=87061227-B7FE-4E32-9443-93C393965FD5,,,,,
13,14,11/17/2011,,11/17/2011,12/15/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
13,26,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,15,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,10,02/18/2020,03/18/2020,07/22/2020,09/09/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8681838&GUID=BF74E34D-103F-4974-9E18-B75DD4520367,,,,,
13,33,04/26/2017,05/26/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P33.pdf,,,,,
13,4,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,48,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,36,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,23,03/15/2023,,03/15/2023,04/19/2023,Restrict all new or additional shared housing units and vacation rentals.,9799c103-cf59-485e-88c1-610d570083e6.pdf (http://usgovcloudapi.net),,,,,
13,6,05/03/2017,06/02/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P6.pdf,,,,,
13,42,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,10,04/14/2017,05/14/2017,05/24/2017,07/26/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P10.pdf,,,,,
13,26,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,17,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,28,07/20/2022,,07/20/2022,07/21/2022,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=11068255&GUID=87061227-B7FE-4E32-9443-93C393965FD5,,,,,
13,5,04/16/2018,05/16/2018,05/25/2018,06/27/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6270640&GUID=8DCE8C52-FAC1-472B-8099-854D93212903,,,,,
13,46,02/23/2022,,02/23/2022,03/23/2022,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=10548422&GUID=75FED462-424D-47B0-A9C8-7901C7EA1E33,,,,,
13,19,04/27/2022,,04/27/2022,05/23/2022,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=10846496&GUID=862BE7CE-6B03-431A-893E-44A2D7E6BC8A,,,,,
13,48,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
23,10,06/22/2024,07/11/2024,09/18/2024,10/30/2024,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/585f473d-1f4c-454b-8d11-4a8c3b9121d9.pdf,,,,,
13,45,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,44,09/04/2018,10/04/2018,11/14/2018,03/13/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6779786&GUID=22FF44F2-7CFB-4735-94DA-555305B8468F,,,,,
13,29,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,20,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,13,06/15/2017,07/15/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W13_P13.pdf,,,,,
23,22,07/18/2017,08/17/2017,11/21/2017,01/17/2018,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/file/7565/download?token=pS5k0e_K,,,,,
13,30,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,23,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760026&GUID=25D054BE-E473-487C-9632-D18105A7D261,,,,,
13,47,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,32,,,09/14/2023,10/04/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/f35f4aac-1c34-4e95-b78b-b7e9c0462439.pdf,,,,,
23,6,04/03/2024,,07/17/2024,09/18/2024,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/9755bc2a-663b-4705-a906-5889e68bfe54.pdf,,,,,
23,18,07/18/2017,08/17/2017,10/11/2017,11/15/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P18.pdf,,,,,
13,27,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,19,04/04/2018,05/04/2018,05/25/2018,06/27/2018,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=6270640&GUID=8DCE8C52-FAC1-472B-8099-854D93212903,,,,,
13,38,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,14,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,14,11/27/2017,12/27/2017,01/17/2018,03/28/2018,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/file/7631/download?token=8DJgn1KC,,,,,
13,46,02/20/2018,03/22/2018,03/28/2018,05/25/2018,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/file/7763/download?token=p9DMcXTX,,,,,
13,38,05/17/2017,06/16/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P38.pdf,,,,,
13,8,05/31/2017,06/30/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P8.pdf,,,,,
13,33,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,12,11/17/2011,,11/17/2021,12/15/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
13,39,07/31/2020,08/31/2020,09/09/2020,10/07/2020,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=8760030&GUID=79FD7268-06E1-4C71-B04F-2D359A598AC9,,,,,
13,35,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,43,09/14/2021,,09/14/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
13,2,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,21,04/13/2017,05/13/2017,05/24/2017,07/26/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P10.pdf,,,,,
13,31,05/03/2017,06/02/2017,06/28/2017,09/06/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P31.pdf,,,,,
13,41,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
11,31,06/25/2019,07/25/2019,10/16/2019,11/13/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7806178&GUID=DF95A64D-424C-4B3A-819F-865BA9E7C5D1,,,,,
13,4,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,21,09/29/2023,,12/14/2023,01/24/2024,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/bcabbe56-c187-447f-b49d-a2c80eecee0a.pdf,,,,,
13,15,08/23/2019,09/23/2019,10/16/2019,11/13/2019,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=7806170&GUID=6382C507-061B-4B95-8974-6C2112D695A2,,,,,
13,38,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,46,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,34,09/14/2021,,09/14/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
13,18,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,21,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,17,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,37,05/24/2023,,05/24/2023,06/21/2023,Restrict all new or additional shared housing units and vacation rentals.,616dfb9a-39a7-46b9-9cae-9fe386290474.pdf (http://usgovcloudapi.net),,,,,
13,11,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,10,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,29,10/23/2017,11/22/2017,12/13/2017,02/28/2018,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/file/7598/download?token=0EJpO5tI,,,,,
13,11,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,22,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,22,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,29,,,09/14/2023,10/04/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/a0a7f1af-3310-4886-80f6-5e9db7e7a961.pdf,,,,,
41,22,10/13/2017,11/13/2017,05/26/2021,07/21/2021,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/LegislationDetail.aspx?ID=4964078&GUID=F9C3D5C4-9A7F-4F60-83BA-9B7E10E3206D&Options=Advanced&Search=,,,,,
23,29,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,29,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
13,24,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,6,06/22/2021,,06/22/2021,06/25/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9501387&GUID=1EB97326-416B-4C79-BA59-F9A92116E7F2,,,,,
13,44,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,12,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,27,06/15/2017,07/15/2017,07/26/2017,10/11/2017,Restrict all new or additional shared housing units and vacation rentals.,http://www.chicityclerk.com/sites/default/files/RRZ_W13_P27.pdf,,,,,
13,1,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
23,21,09/21/2022,,09/21/2022,10/26/2022,Restrict all new or additional shared housing units and vacation rentals.,https://chicago.legistar.com/View.ashx?M=F&ID=11252323&GUID=038E606C-CB40-4F74-A932-0B68CCAFA7C1,,,,,
13,8,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,3,,,10/04/2023,11/12/2023,Amendment updating map after redistricting -- all new or additional shared housing restricted,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/cfb0eacd-791d-45e0-9f0a-8e6dd19e7ed1.pdf,,,,,
13,13,09/14/2021,,09/14/2021,11/17/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9808012&GUID=C171AD85-80DB-4CC5-9ED4-4F451C52D9FA,,,,,
13,1,06/25/2021,,06/25/2021,07/21/2021,Renewal,https://chicago.legistar.com/LegislationDetail.aspx?ID=4994692&GUID=64ECC7EC-FDE9-4C6F-9AA0-5BEFFBFAC911&Options=Advanced&Search=,,,,,
13,29,11/17/2021,,11/17/2021,12/15/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9967123&GUID=FC14E075-9F62-4686-A64E-F349F2AD25B3,,,,,
23,23,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,23,07/21/2021,,07/21/2021,09/14/2021,Renewal,https://chicago.legistar.com/View.ashx?M=F&ID=9629135&GUID=64918BB2-F7FA-4CBE-A616-0B5B0455D47D,,,,,
23,4,07/14/2017,08/13/2017,09/06/2017,11/08/2017,Restrict all new or additional shared housing units and vacation rentals.,https://www.chicityclerk.com/sites/default/files/RRZ_W23_P4.pdf,,,,,
23,3,05/24/2023,,07/19/2023,09/13/2023,Restrict all new or additional shared housing units and vacation rentals.,https://occprodstoragev1.blob.core.usgovcloudapi.net/matterattachmentspublic/0674d5ab-a668-460c-b007-049ca157a75a.pdf,,,,,
