Application ID,Submission ID,Applicant Role,"Association, Cooperative, or Owner",Address Number,Street Direction,Street Name,Street Type,Number of Units,PIN,Vote Date,Recorded Date,Signed Date,Latitude,Longitude,Location
1687,PB2017A01687,Agent,South Commons Phase I Condo Assn,3041,S,Michigan,AVE,679,17-27-310-093-1679,,08/11/2017,08/11/2017,41.838299776,-87.623296812,"(41.83829977603046, -87.62329681198794)"
1868,PB2017A01868,authorized agent,,1342,S,Federal,ST,1,17-21-211-181-0000,,09/11/2017,09/11/2017,41.864513158,-87.629552548,"(41.86451315797737, -87.62955254795443)"
1676,PB2017A01676,Agent,3365-3369 N. Clark,3365-3369,N,Clark,ST,2,14-20-419-077-0000,,08/11/2017,08/11/2017,41.943457073,-87.653355999,"(41.94345707298264, -87.65335599897453)"
764,PB2016A00764,Registered Agent,Huron Pointe Condo Assoc,421,W,Huron,ST,99,17-09-124-020-1001-1222,,,10/19/2016,41.894614416,-87.639438496,"(41.89461441601839, -87.6394384960245)"
911,PB2017A00911,Registered Agent,2222 W Belmont Condo Assoc,2222,W,Belmont,AVE,20,14-19-329-055-1001-1020,,,11/28/2016,41.939611929,-87.684150991,"(41.939611929018625, -87.684150991023)"
324,PB2016A00324,Property Manager,Delaware Place Condominium Assoc,105-107,W,Delaware,PL,16,17-04-440-034-1001-1016,,,08/03/2016,41.899152283,-87.63156169,"(41.899152283046206, -87.63156168995424)"
1276,PB2017A01276,Registered Agent,,3500-3502,N,Reta,AVE,18,14-20-406-043-0000,,03/27/2017,03/27/2017,41.945545172,-87.650794536,"(41.94554517202249, -87.65079453600902)"
2170,PB2018A02170,Registered Agent,Magnolia Grace Condominium Association,3763-3765,N,Magnolia,AVE,12,14-20-118-046-1007,03/05/2018,03/09/2018,03/09/2018,41.950763528,-87.660332325,"(41.950763527984726, -87.66033232498829)"
209,PB2016A00209,Authorized Agent,Grandville Garden Condominium Assoc,1746-1750,W,Granville,AVE,17,14-06-209-092-1001,,,08/01/2016,41.994486368,-87.673719715,"(41.994486368020205, -87.67371971503297)"
915,PB2017A00915,Authorized Agent,Wrightwood Burling Place Condo Assoc,734,W,Wrightwood,AVE,31,14-28-302-053-1001-1036,,,11/30/2016,41.929201613,-87.64781235,"(41.92920161302189, -87.64781234995962)"
2513,PB2019A02513,Association Board President,912 West Chicago Avenue Condominiums Association,912,W,Chicago,AVE,12,17-05-424-016-1001 through 17-05-424-016-1032,,04/09/2019,04/09/2019,41.89645528,-87.650417352,"(41.89645527996394, -87.65041735197431)"
311,PB2016A00311,Property Manager,Old Norwood Circle Condominium Assoc,5962,N,East Circle,AVE,17,13-06-305-060-1001-1017,,,08/03/2016,41.990202761,-87.800301614,"(41.99020276104582, -87.80030161399664)"
2317,PB2018A02317,Owner,,2101,W,Irving Park,RD,5,14-19-105-033-0000,,05/14/2018,05/14/2018,41.954010154,-87.681240941,"(41.95401015404328, -87.68124094099036)"
2069,PB2017A02069,"Lakeview Associates, Inc (property manager)",,417,W,Roscoe,ST,36,14-21-310-016-0000,,11/21/2017,11/21/2017,41.94325362,-87.641220858,"(41.94325361996783, -87.64122085803231)"
2052,PB2017A02052,General Manager,Park Millennium Condominium Association,222,N,Columbus,DR,480,17-10-316-033-1004 to 17-10-316-033-1483,,11/16/2017,11/16/2017,41.886339416,-87.62083615,"(41.886339416011204, -87.62083614995649)"
2340,PB2018A02340,authorized agent,5100 Marine Drive Condo Association,5100,N,Marine,DR,300,14-08-403-028-1001-1300,06/01/1999,07/26/2018,07/26/2018,41.975355803,-87.65189745,"(41.9753558029658, -87.65189744998881)"
1708,PB2017A01708,AUTHORIZED AGENT,WRIGHTWOOD BURLING PLACE CONDOMINIUM ASSOCIATION,734-744,W,WRIGHTWOOD,AVE,31,14283020531036,,08/11/2017,08/11/2017,41.929201613,-87.64781235,"(41.92920161302189, -87.64781234995962)"
1138,PB2017A01138,authorized agent,Glen Lake No. 1 Condo Assoc,6461,W,Warner,AVE,72,13-18-409-069-1181-1252,01/23/2017,02/23/2017,02/23/2017,41.9562503291,-87.7889816631,"(41.956250329078074, -87.78898166313944)"
59,PB2016A00059,Board President,1120 Lake Shore Drive Building Corporation,1120,N,Lake Shore,DR,61,17-03-201-063-0000,,,07/29/2016,41.9031772756,-87.6248907244,"(41.90317727563051, -87.62489072443124)"
1142,PB2017A01142,President,The Robey Condo Assoc,4434-4444,N,Damen,AVE,52,14-18-134-033-1001-1052,,02/23/2017,02/23/2017,41.9625045694,-87.6791529233,"(41.96250456940412, -87.67915292325978)"
588,PB2016A00588,Authorized Agent,Lake Terrace Condo Assoc,7337,S,South Shore,DR,364,21-30-114-029-1001,,04/03/2011,09/30/2016,41.7632350239,-87.5596166825,"(41.76323502386814, -87.55961668246357)"
1667,PB2017A01667,Authorized Agent,Sterling Condominium Association,941-945,W,gordon,TER,72,14174130231001,08/09/2016,08/11/2017,08/11/2017,41.95724544,-87.6541256318,"(41.957245439985044, -87.65412563178273)"
897,PB2017A00897,Authorized Agent,Aspen Burnham Station CA,51,W,15th,ST,22,17-21-210-145-1001-10222,,,08/08/2016,41.8618155689,-87.6292921144,"(41.861815568885234, -87.6292921143974)"
32,PB2016A00032,Authorized Agent,401 East Ontario Condominium Assoc,401,E,Ontario,ST,394,17-10-208-017-1001-1396,,07/21/2016,07/21/2016,41.8933412963,-87.6175891512,"(41.893341296312244, -87.61758915120579)"
2121,PB2018A02121,Property Manager,Bucktown Ironwerks Condominium Association,1670,N,Claremont,AVE,30,14-31-326-073-1001 to 14-31-326-073-1030,01/23/2018,01/24/2018,01/24/2018,41.912314004,-87.6862002227,"(41.91231400404291, -87.68620022265665)"
3090,PB2020A03090,President,Four Thirty Four West Aldine Condominium Association,434,W,Aldine,AVE,20,14-21-310-071-1001; 14-21-310-071-1002; 14-21-310-071-1003; 14-21-310-071-1004; 14-21-310-071-1005; 14-21-310-071-1006; 14-21-310-071-1007; 14-21-310-071-1008; 14-21-310-071-1009; 14-21-310-071-1010; 14-21-310-071-1011; 14-21-310-071-1012; 14-21-310-071-1013; 14-21-310-071-1014; 14-21-310-071-1015; 14-21-310-071-1016; 14-21-310-071-1017; 14-21-310-071-1018; 14-21-310-071-1019; 14-21-310-071-1020;,,08/03/2020,08/03/2020,41.9423819861,-87.6413239773,"(41.942381986148455, -87.64132397734349)"
1585,PB2017A01585,Agent,City View Condominium Association,440-480,N,McClurg,CT,421,17-10-219-034-1001,,08/10/2017,08/10/2017,41.889816848,-87.6177773341,"(41.889816847972206, -87.61777733414253)"
2634,PB2019A02634,Manager,,6656,N,Damen,AVE,13,11-31-302-026-0000,,10/01/2019,10/01/2019,42.0030652451,-87.6804503784,"(42.00306524508387, -87.68045037835672)"
2614,PB2019A02614,Manager,,1552,N,La Salle,DR,16,17-04-204-010-0000,,09/30/2019,09/30/2019,41.9106784348,-87.6332809201,"(41.91067843482093, -87.63328092009478)"
1827,PB2017A01827,AUTHORIZED AGENT,LANDMARK GARDEN CA,16,W,36TH,ST,2,17334260144021,,08/28/2017,08/28/2017,41.829282056,-87.6271452454,"(41.82928205603544, -87.62714524537095)"
1347,PB2017A01347,authorized agent,Electric Company Lofts Condo Assoc,1751,N,Western,AVE,36,14-31-318-013-1001-1036,04/24/1997,05/18/2017,05/18/2017,41.9136097304,-87.6871603327,"(41.91360973036146, -87.68716033268412)"
1869,PB2017A01869,authorized agent,,1343,S,Clark,ST,1,17-21-211-189-0000,,09/11/2017,09/11/2017,41.864545563,-87.6301803871,"(41.86454556297125, -87.63018038710877)"
2373,PB2018A02373,Property Manager,475 West 24th Street Condominium Association,475,W,24th,ST,36,17-28-115-046-1001  --  17-28-115-046-1075,07/19/2018,10/01/2018,10/01/2018,41.8489421394,-87.6397722801,"(41.84894213935867, -87.63977228005614)"
3105,PB2020A03105,Attorney,,233,E,Wacker,DR,534,17-10-316-036-0000,,10/09/2020,10/09/2020,41.8877901723,-87.6212787129,"(41.8877901722575, -87.62127871291348)"
198,PB2016A00198,Authorized Agent,Rowe Building Condominium Assoc,714,S,Dearborn,ST,9,17-16-406-025-1001,,,08/01/2016,41.8730424544,-87.629304027,"(41.87304245435717, -87.62930402700464)"
2387,PB2018A02387,Chief Financial Officer,,701,W,Buckingham,PL,17,14-21-309-011-0000,,10/10/2018,10/10/2018,41.9426304339,-87.6471487087,"(41.9426304339287, -87.64714870869042)"
2185,PB2018A02185,Owner,,3330,N,Lake Shore,DR,60,14-21-310-018-0000,,03/22/2018,03/22/2018,41.9431607927,-87.6405568162,"(41.94316079265045, -87.64055681622992)"
1966,PB2017A01966,Registered Agent,,5636,N,Magnolia,AVE,29,1405323034,,09/20/2017,09/20/2017,41.9846936759,-87.661530642,"(41.98469367588627, -87.66153064203725)"
569,PB2016A00569,Owner,540 W Briar LLC,540,W,Briar,PL,112,14-28-102-015-0000,,,09/26/2016,41.9388107982,-87.6435422925,"(41.93881079821095, -87.64354229251548)"
2990,PB2019A02990,manager,,4752,S,wabash,AVE,24,20-10-100-034-0000,,10/30/2019,10/30/2019,41.8076990345,-87.6245595889,"(41.8076990345395, -87.62455958887034)"
102,PB2016A00102,Authorized Agent,Buena Clarendon Condominium Assoc,752,W,Buena,AVE,12,14-16-302-032-1001-1012,,,07/29/2016,41.9586016092,-87.6494732747,"(41.958601609177656, -87.64947327469463)"
955,PB2017A00955,Authorized Agent,Elm Street Plaza Venture LLP,1130,N,Dearborn,ST,396,17-04-413-001-0000 thru 17-04-413-015-0000,,,01/09/2017,41.9028427848,-87.6301003154,"(41.902842784810446, -87.63010031540077)"
1171,PB2017A01171,Vice President,,1330,N,Dearborn,ST,86,17-04-217-035-0000,,03/03/2017,03/03/2017,41.9066873142,-87.6302165986,"(41.90668731423024, -87.63021659858879)"
977,PB2017A00977,Authorized Agent,2144 Condo Assoc,2144,N,Lincoln Park West,,92,14-33-206-052-1001-1152,08/26/1981,,01/13/2017,41.9215050269,-87.6365897122,"(41.92150502692454, -87.63658971224659)"
417,PB2016A00417,Registered Agent,Granville Terrace Mutual Ownership Trust,1823-1825,W,Granville,AVE,116,14-06-214-017-0000,,,08/15/2016,41.9942233866,-87.6760854716,"(41.99422338658668, -87.67608547162864)"
1886,PB2017A01886,authorized agent,,1429,S,Clark,ST,1,17-21-211-035-0000,,09/11/2017,09/11/2017,41.8631827418,-87.6301420784,"(41.863182741789224, -87.63014207837462)"
564,PB2016A00564,Property Manager,Carolina Condominium Assoc,6610-6618,S,Kenwood,AVE,35,20-23-223-042-1001-1031 and 20-23-223-039-1001-1025,,08/31/2016,09/21/2016,41.7747059509,-87.5930891198,"(41.77470595092749, -87.5930891198166)"
410,PB2016A00410,Authorized Agent,The Willows of Lincoln Park,1700-1728,N,Larrabee,ST,34,14-33-316-079-1001-1032,,,08/25/2016,41.9128616965,-87.6436388154,"(41.91286169649795, -87.64363881535564)"
890,PB2017A00890,Authorized Agent,West Haven Park Homes CA,2235,W,Maypole,AVE,,17-07-321-048-1035-1043,,,08/08/2016,41.8838067794,-87.6826947915,"(41.88380677942755, -87.68269479145911)"
2582,PB2019A02582,Manager,,1553,N,Wells,ST,24,17-04-204-003-0000,,09/25/2019,09/25/2019,41.9106813916,-87.6345489248,"(41.91068139160159, -87.63454892482174)"
2828,PB2019A02828,manager,,5240,S,Drexel,AVE,45,20-11-306-018-0000,,10/02/2019,10/02/2019,41.7992210856,-87.6040629969,"(41.79922108556044, -87.60406299687095)"
2352,PB2018A02352,Secretary of 2708-2712 N Ashland Condo Asoc,2708-2712 N Ashland Ave Condo Association,2708-2712,N,Ashland,AVE,6,14-30-40-50-75-10-08,,08/04/2018,08/04/2018,41.9309573804,-87.6684965177,"(41.93095738040266, -87.66849651772937)"
2077,PB2017A02077,"Lakeview Associates, Inc. (property manager)",,644,W,Surf,ST,40,14-28-116-020-0000,,11/21/2017,11/21/2017,41.9349586992,-87.645978515,"(41.93495869916498, -87.64597851499049)"
1203,PB2017A01203,authorized agent,550 St. Clair,550,N,ST CLAIR,ST,111,11-10-422-033-1001-1238,,03/03/2017,03/03/2017,41.8925135625,-87.6228347416,"(41.89251356251161, -87.62283474159473)"
758,PB2016A00758,Owner,Vranas Family Partners LLC,6758,N,Sheridan,RD,73,11-32-305-027-0000,,,10/19/2016,42.0052691205,-87.661031287,"(42.00526912045068, -87.66103128702672)"
1650,PB2017A01650,Authorized Agent,University Commons of Chicago Condo Association,1221-1229,E,57th,ST,32,20-14-214-026-1001,08/09/2016,08/11/2017,08/11/2017,41.7913461765,-87.5955642757,"(41.79134617650115, -87.59556427570486)"
3146,PB2021A03146,Manager,,3401,N,Southport,AVE,30,14-20-313-037-0000,,04/09/2021,04/09/2021,41.9434660263,-87.6637716032,"(41.94346602625338, -87.66377160318754)"
1575,PB2017A01575,authorized agent,North Town Village Condo Assoc,759,W,Evergreen,AVE,145,17-04-113-100-1111,,08/10/2017,08/10/2017,41.9062692634,-87.6481152704,"(41.90626926335497, -87.64811527040663)"
1057,PB2017A01057,property manager,Commonwealth Historic Priarie Avenue HOA,1815-1849,S,Prairie,PKWY,37,17-22-309-072-0000-17-22-309-114-0000,,02/02/2017,02/02/2017,41.8573423458,-87.6201028435,"(41.85734234578733, -87.62010284351575)"
2511,PB2019A02511,"Andco Management, Ltd.",,1331-1341,W,Addison,ST,40,14-20-304-007-0000,,04/04/2019,04/04/2019,41.9469763842,-87.6629369302,"(41.94697638423381, -87.66293693022894)"
327,PB2016A00327,Property Manager,Cornell Commons Condominium Assoc,5462-5470,S,Cornell,AVE,19,20-12-110-036-1001-1033,,,08/03/2016,41.7962681465,-87.5855829382,"(41.79626814652137, -87.5855829382365)"
627,PB2016A00627,Authorized Agent,Chelsea Townhomes,1137 #3,W,Monroe,ST,1,17-17-210-065-0000,,,09/22/2016,41.8802352922,-87.6561414428,"(41.88023529222652, -87.6561414427707)"
1041,PB2017A01041,authorized agent,Willard Court Lofts Condo Assoc,949-951,N,Willard,CT,20,17-05-318-060-1001-1050,,02/01/2017,02/01/2017,41.8996646554,-87.6584548304,"(41.89966465536126, -87.65845483038827)"
1578,PB2017A01578,Agent,Sheridan Briar South Condo Assn,405,W,Briar,PL,15,14-28-105-076-1001-1015,,08/10/2017,08/10/2017,41.9386489367,-87.6397716908,"(41.938648936652406, -87.63977169080967)"
2243,PB2018A02243,Property Manager,,3901-3907,W,Belden,AVE,10,13-35-108-007-0000,,04/03/2018,04/03/2018,41.922573053,-87.7243340029,"(41.922573053037134, -87.72433400292918)"
19,PB2016A00019,Authorized Agent,East Lincoln Park Village Condo Assoc.,2124-2128,N,Hudson,AVE,33,14-33-123-066-1001-1030,,06/08/2016,07/22/2016,41.9208918698,-87.640185521,"(41.92089186984495, -87.64018552099449)"
866,PB2017A00866,Owner,Lawndale Apartments,3241,W,Douglas,BLVD,,16-23-220-006-0000,,,08/29/2016,41.8623804851,-87.7071996704,"(41.86238048508937, -87.70719967041005)"
3352,PB2024A03352,Manager of Residences,Vista Residences Condominium Association/The Residences at St. Regis Chicago,363,E,Wacker,DR,463,17-10-318-088-0000,,04/10/2024,04/10/2024,41.8874643966,-87.6178602311,"(41.88746439664589, -87.61786023106754)"
378,PB2016A00378,President,Lill on the Park Condominium Assoc,2515-2525,N,Seminary,AVE,10,14-29-418-040-0000 thru          14-29-418-057-0000,,,08/04/2016,41.9276392337,-87.6559631571,"(41.92763923366318, -87.65596315711997)"
2193,PB2018A02193,authorized agent,656 W. Buckingham HOA,656,W,Buckingham,PL,6,14-21-308-060-0000,03/19/2018,03/27/2018,03/27/2018,41.9428574656,-87.646627283,"(41.94285746560873, -87.64662728297161)"
1656,PB2017A01656,authorized agent,Block X Condo Assoc,24,N,May,ST,99,17-08-443-042-1001-1099,,08/11/2017,08/11/2017,41.8823793228,-87.6556929667,"(41.882379322844955, -87.65569296672064)"
2636,PB2019A02636,Manager,,7237,N,Ridge,BLVD,9,11-30-323-006-0000,,10/01/2019,10/01/2019,42.0133498156,-87.6832938833,"(42.013349815602545, -87.68329388326212)"
3213,PB2022A03213,President,CRANDON CONDO ASSOCIATION,6833,S,Crandon,AVE,3,20-24-412-031-1001,01/10/2022,01/10/2022,01/10/2022,41.7708985792,-87.5697576336,"(41.77089857918299, -87.56975763355751)"
1610,PB2017A01610,AUTHORIZED AGENT,EASTGATE VILLAGE CONDOMINIUM ASSOCIATION,318-328,E,25TH,PL,48,17271290931039,05/09/2017,08/10/2017,08/10/2017,41.8464914815,-87.6195523773,"(41.846491481533604, -87.61955237733535)"
1783,PB2017A01783,authorized agent,Tandem Lofts Condo Assoc,1631,S,Michigan,AVE,61,17-22-302-051-0000,,08/22/2017,08/22/2017,41.8593811113,-87.6238204256,"(41.85938111128673, -87.62382042560738)"
2053,PB2017A02053,Board President,Commodore Green Briar Landmark C.A.,550,W,Surf,ST,115,14-28-122-017-1001-1271,07/31/2017,11/17/2017,11/17/2017,41.9343759338,-87.6434903672,"(41.934375933787926, -87.64349036719632)"
1561,PB2017A01561,Property Manager,Landmark Village Condo Association,2849,N,Wolcott,AVE,999,14-30-222-173-1120,,08/10/2017,08/10/2017,41.9337786651,-87.675591572,"(41.93377866512895, -87.67559157195839)"
386,PB2016A00386,Property Manager,Chaseland Condominium Assoc,1545,W,Chase,AVE,27,11-29-319-018-1001-1027,,,08/03/2016,42.0137364661,-87.6698911452,"(42.01373646606818, -87.6698911452008)"
1292,PB2017A01292,authorized agent,1555 N. Astor Condo Assoc,1555,N,Astor,ST,112,17-03-101-028-1001-1115,09/15/0016,03/27/2017,03/27/2017,41.9111578799,-87.6275133057,"(41.91115787985893, -87.6275133056584)"
1108,PB2017A01108,registered agent,Parkside of Old Town Midrise Leasehold Condo Assoc,511,W,Division,ST,207,17-04-307-054-4319,,02/15/2017,02/15/2017,41.9036308404,-87.6416874319,"(41.90363084041282, -87.64168743193885)"
816,PB2017A00816,Owner,Northtown Village Phase I,1427,N,Halsted,ST,116,17-04-113-082-0000,,,08/29/2016,41.9071889672,-87.6480380359,"(41.9071889672001, -87.64803803586298)"
1771,PB2017A01771,authorized agent,1250 N La Salle Condo Assoc,1250,N,La Salle,DR,196,20-17-04-221-063-1001-1359,09/15/2000,08/16/2017,08/16/2017,41.9053320861,-87.6331182361,"(41.90533208612039, -87.63311823610007)"
1951,PB2017A01951,Registered Agent,,500,W,Fullerton,PKWY,71,1428317034,,09/19/2017,09/19/2017,41.9256779637,-87.6415671662,"(41.92567796368094, -87.64156716615982)"
1899,PB2017A01899,authorized agent,,1445,S,Clark,ST,1,17-21-211-018-0000,,09/11/2017,09/11/2017,41.8627590229,-87.6301310555,"(41.86275902289559, -87.63013105548283)"
2540,PB2019A02540,Manager,,1134,W,Armitage,AVE,8,14-32-222-031-0000,,07/01/2019,07/01/2019,41.9181648087,-87.6568628321,"(41.91816480873289, -87.65686283213844)"
31,PB2016A00031,Authorized Agent,The Printers Square Condo Assoc,640-780,S,Federal,ST,355,17-16-405-097-1001-1355,,01/31/2006,07/20/2016,41.8739458527,-87.6297952157,"(41.87394585270466, -87.629795215686)"
671,PB2016A00671,Authorized Agent,1319 W Fillmore Condo Assoc,1319,W,Fillmore,ST,3,17-17-329-057-1001-1003,,,10/05/2016,41.8684676488,-87.6599745446,"(41.868467648813194, -87.65997454460482)"
2368,PB2018A02368,Property Manager,Lakefront Place Condominium Association,6730,S,South Shore,DR,91,20-20-406-027-1001     --    20-20-406-027-1901,07/17/2018,09/22/2018,09/22/2018,41.772627187,-87.5667665396,"(41.77262718696298, -87.56676653959914)"
3041,PB2020A03041,Manager,,2100,W,Cullerton,ST,6,17-19-312-048-0000,,01/04/2020,01/04/2020,41.8550023248,-87.678490302,"(41.855002324837784, -87.67849030197326)"
909,PB2017A00909,Authorized Agent,50 East Bellevue Condo Assoc,50,E,Bellevue,PL,145,17-03-202-065-1001-1145,,,08/31/2016,41.901697728,-87.6264728162,"(41.90169772799367, -87.62647281615905)"
504,PB2016A00504,Registered Agent,515 Wrightwood Condominium Assoc,515,W,Wrightwood,AVE,78,14-28-318-065-1002-1082,,08/31/2016,09/07/2016,41.9303840842,-87.6419494828,"(41.9303840842464, -87.64194948284154)"
894,PB2017A00894,Authorized Agent,Lakeshore Pointe CA,2349,E,70th,PL,63,20-24-430-011-1001-1114,,,08/08/2016,41.7670378145,-87.5677852292,"(41.767037814530234, -87.56778522918621)"
1880,PB2017A01880,authorized agent,,1401,S,Clark,ST,1,17-21-211-168-0000,,09/11/2017,09/11/2017,41.8639243267,-87.6301623247,"(41.86392432672453, -87.6301623247156)"
2664,PB2019A02664,Manager,,120,E,70th,ST,12,20-22-314-036-0000,,10/02/2019,10/02/2019,41.7675253386,-87.6208302475,"(41.76752533860878, -87.62083024754733)"
2980,PB2019A02980,manager,,2242-2244,N,monticello,AVE,13,13-35-113-022-0000,,10/30/2019,10/30/2019,41.9222111263,-87.7182912039,"(41.92221112628764, -87.71829120388026)"
146,PB2016A00146,Authorized Agent,Prairie House at Central Station,1515,S,Prairie,AVE,186,17-22-110-107-1101-1468,,,08/03/2016,41.8615727833,-87.6206642381,"(41.8615727832991, -87.62066423805882)"
1043,PB2017A01043,authorized agent,Two River Place Condominium,720,N,Larrabee,ST,168,17-09-113-017-1001-1168,,02/02/2017,02/02/2017,41.8953475557,-87.6431047144,"(41.895347555720434, -87.64310471436526)"
1328,PB2017A01328,authorized agent,854-858 W Erie Condo,854-858,W,Erie,ST,6,17-08-226-001-002,12/05/1997,04/28/2017,04/28/2017,41.8934569688,-87.6498530557,"(41.89345696880662, -87.64985305569661)"
975,PB2017A00975,Authorized Agent,734 West Belden Condo Assoc,734,W,Belden,AVE,3,14-33-100-041-1001-1003,01/12/2017,,01/13/2017,41.9237541575,-87.647703686,"(41.92375415745311, -87.64770368601008)"
1271,PB2017A01271,Registered Agent,,2739-2741,N,Hampden,CT,6,14-28-309-007-0000,,03/27/2017,03/27/2017,41.9318922208,-87.6420279624,"(41.9318922208422, -87.64202796236661)"
797,PB2016A00797,Authorized Agent,Ritchie Tower Condo Assoc,1310,N,Ritchie,CT,106,17-03-107-019-1001-1106,,,11/01/2016,41.906211991,-87.6267466272,"(41.9062119910102, -87.6267466271917)"
1056,PB2017A01056,authorized agent,Fulton Street Lofts Condo Assoc,1118,W,Fulton Market,,16,17-08-409-010-1001-1041,12/14/2016,02/02/2017,02/02/2017,41.8867904663,-87.6553494561,"(41.886790466342866, -87.65534945612572)"
1273,PB2017A01273,Registered Agent,,1401-1403,W,Huron,ST,16,17-08-113-015-0000,,03/27/2017,03/27/2017,41.8942171588,-87.6624327876,"(41.89421715882138, -87.66243278755019)"
3159,PB2021A03159,Secretary,1222-24 Ohio Condominium Association,1224,W,Ohio,ST,6,17-08-120-051-0000,,08/05/2021,08/05/2021,41.8926449739,-87.6584373729,"(41.892644973890654, -87.65843737285702)"
2245,PB2018A02245,Property Manager,,4922,N,Spaulding,AVE,4,13-11-421-020-0000,,04/03/2018,04/03/2018,41.9709311255,-87.7111363546,"(41.9709311255388, -87.71113635463618)"
238,PB2016A00238,Authorized Agent,Private Residences at Ontario Place Condo Assoc,10,E,Ontario,ST,467,17-10-111-014-1001,,,08/04/2016,41.893388867,-87.6277024007,"(41.89338886697453, -87.62770240071154)"
2408,PB2018A02408,Chief Financial Officer,,842-846,W,Fletcher,ST,63,14-29-204-034-0000,,10/12/2018,10/12/2018,41.9391046248,-87.6508581631,"(41.93910462483157, -87.6508581630905)"
